loan_id,application_date,settlement_date,state,postcode_region,property_type,occupancy_type,loan_purpose,first_home_buyer,channel,loan_amount,property_value,deposit_amount,lvr_pct,interest_rate_pct,term_years,repayment_type,monthly_repayment,application_status,days_to_decision,credit_score_band,debt_to_income_ratio,arrears_days,hardship_flag,annual_household_income,current_balance
HL-00032,2025-02-27,,VIC,Outer Regional,House,Owner Occupied,Refinance,false,Broker,463000.00,718000.00,255000.00,64.54,6.260,30,Interest Only,2415.32,Approved,6,Excellent,6.34,0,false,75000.00,0.00
HL-00033,2025-02-14,,WA,Outer Regional,Apartment,Investment,Purchase,false,Digital,379000.00,691000.00,312000.00,54.84,6.643,35,Principal and Interest,2327.08,Declined,4,Good,4.32,0,false,87700.00,0.00
HL-00034,2025-02-06,2025-03-05,VIC,Inner Regional,House,Owner Occupied,Purchase,false,Digital,737000.00,1020000.00,283000.00,72.30,5.612,35,Principal and Interest,4012.05,Active,6,Very Good,6.16,2,true,119600.00,655698.38
HL-00035,2025-02-15,2025-04-02,VIC,Metro,Apartment,Investment,Purchase,true,Direct,700000.00,1017000.00,317000.00,68.84,6.069,25,Principal and Interest,4539.68,Active,6,Good,6.57,0,false,106500.00,675344.23
HL-00036,2025-02-09,2025-04-01,QLD,Metro,Apartment,Owner Occupied,Purchase,true,Digital,661000.00,756000.00,95000.00,87.43,6.467,30,Principal and Interest,4163.63,Active,3,Excellent,4.50,0,false,146900.00,627240.60
HL-00037,2025-02-11,,SA,Outer Regional,House,Owner Occupied,Refinance,false,Broker,329000.00,550000.00,221000.00,59.84,5.921,25,Principal and Interest,2103.89,Approved,11,Good,6.70,0,false,75000.00,0.00
HL-00038,2025-02-17,,NSW,Metro,House,Owner Occupied,Purchase,false,Broker,873000.00,1294000.00,421000.00,67.49,5.416,30,Principal and Interest,4910.89,Approved,10,Very Good,5.93,0,false,147200.00,0.00
HL-00039,2025-02-24,,NSW,Metro,House,Owner Occupied,Refinance,false,Digital,945000.00,1226000.00,281000.00,77.09,5.944,30,Principal and Interest,5631.77,Approved,2,Good,4.02,0,false,235100.00,0.00
HL-00040,2025-02-06,,NSW,Metro,Apartment,Owner Occupied,Purchase,true,Broker,523000.00,623000.00,100000.00,83.92,5.923,30,Principal and Interest,3109.81,Withdrawn,11,Very Good,2.92,0,false,179100.00,0.00
HL-00041,2025-03-05,2025-04-05,VIC,Outer Regional,Apartment,Owner Occupied,Refinance,true,Broker,1115000.00,1249000.00,134000.00,89.25,6.436,30,Principal and Interest,7000.69,Active,7,Very Good,6.38,0,false,174800.00,1041589.16
HL-00042,2025-03-07,2025-04-25,ACT,Metro,Townhouse,Owner Occupied,Purchase,true,Direct,635000.00,746000.00,111000.00,85.13,5.668,25,Principal and Interest,3963.42,Active,7,Fair,5.31,0,false,119600.00,624785.76
HL-00043,2025-03-13,2025-04-08,NSW,Metro,House,Owner Occupied,Purchase,true,Broker,1207000.00,1304000.00,97000.00,92.58,5.859,25,Principal and Interest,7673.02,Active,9,Very Good,6.62,0,false,182300.00,1189815.07
HL-00044,2025-03-11,2025-04-10,NSW,Metro,House,Investment,Purchase,false,Digital,1197000.00,1369000.00,172000.00,87.44,6.725,30,Principal and Interest,7743.84,Active,2,Limited,6.30,0,false,190000.00,1044185.35
HL-00045,2025-03-22,2025-04-29,VIC,Outer Regional,House,Owner Occupied,Purchase,true,Broker,559000.00,636000.00,77000.00,87.86,5.999,35,Interest Only,2794.53,Active,4,Good,2.57,0,false,217500.00,495675.18
HL-00046,2025-03-15,2025-04-27,QLD,Outer Regional,Townhouse,Owner Occupied,Purchase,false,Broker,364000.00,646000.00,282000.00,56.27,6.198,25,Principal and Interest,2389.51,Active,10,Good,3.62,0,false,100600.00,347434.99
HL-00047,2025-03-12,,VIC,Metro,Apartment,Owner Occupied,Purchase,true,Digital,739000.00,864000.00,125000.00,85.52,6.480,30,Principal and Interest,4661.27,Withdrawn,4,Good,6.85,0,false,107900.00,0.00
HL-00048,2025-03-29,2025-05-17,VIC,Metro,House,Investment,Purchase,false,Digital,752000.00,1103000.00,351000.00,68.22,5.710,25,Interest Only,3578.27,Active,5,Good,6.35,0,false,118400.00,666517.11
HL-00049,2025-03-30,2025-05-18,VIC,Metro,Apartment,Investment,Purchase,false,Digital,614000.00,682000.00,68000.00,90.08,6.798,30,Principal and Interest,4002.00,Active,4,Good,2.42,0,false,253700.00,581540.77
HL-00050,2025-03-07,2025-04-24,NSW,Metro,Apartment,Investment,Purchase,true,Broker,626000.00,717000.00,91000.00,87.29,5.743,30,Principal and Interest,3650.38,Active,8,Very Good,6.38,0,false,98100.00,597008.66
HL-00051,2025-03-30,,NSW,Metro,Apartment,Investment,Refinance,false,Direct,741000.00,823000.00,82000.00,90.09,5.771,25,Interest Only,3563.59,Declined,8,Excellent,4.05,0,false,183000.00,0.00
HL-00052,2025-03-11,,NSW,Metro,Townhouse,Owner Occupied,Purchase,false,Direct,588000.00,1012000.00,424000.00,58.06,6.282,25,Interest Only,3078.18,Declined,4,Excellent,4.84,0,false,121500.00,0.00
HL-00053,2025-03-03,2025-04-18,WA,Metro,House,Owner Occupied,Purchase,false,Direct,777000.00,1040000.00,263000.00,74.71,5.809,25,Principal and Interest,4915.90,Active,7,Fair,3.63,0,false,214000.00,685533.64
HL-00054,2025-03-18,2025-05-11,QLD,Metro,Apartment,Owner Occupied,Purchase,true,Direct,575000.00,616000.00,41000.00,93.40,6.788,25,Principal and Interest,3986.55,Active,6,Good,2.20,0,false,261400.00,524207.00
HL-00055,2025-03-06,2025-03-25,SA,Metro,Townhouse,Owner Occupied,Refinance,false,Broker,283000.00,360000.00,77000.00,78.59,5.549,30,Principal and Interest,1615.55,Active,8,Excellent,6.24,0,false,75000.00,273969.27
HL-00056,2025-03-17,2025-04-26,VIC,Metro,Townhouse,Owner Occupied,Purchase,false,Broker,586000.00,934000.00,348000.00,62.77,6.037,25,Principal and Interest,3788.87,Active,4,Fair,4.46,0,false,131400.00,506683.13
HL-00057,2025-03-20,2025-05-07,NSW,Outer Regional,Apartment,Owner Occupied,Purchase,false,Direct,810000.00,1108000.00,298000.00,73.12,6.526,35,Principal and Interest,4908.12,Active,6,Good,5.55,0,false,145900.00,736392.76
HL-00058,2025-03-27,,NSW,Inner Regional,Apartment,Owner Occupied,Purchase,true,Broker,603000.00,731000.00,128000.00,82.46,5.985,35,Principal and Interest,3432.17,Approved,7,Excellent,2.55,0,false,236500.00,0.00
HL-00059,2025-03-05,,NSW,Inner Regional,Land,Investment,Refinance,false,Direct,429000.00,550000.00,121000.00,77.95,6.085,35,Principal and Interest,2470.65,Withdrawn,3,Very Good,6.20,0,false,75000.00,0.00
HL-00060,2025-03-05,2025-04-06,VIC,Metro,House,Owner Occupied,Purchase,false,Direct,1000000.00,1141000.00,141000.00,87.65,6.469,30,Principal and Interest,6300.31,Active,7,Fair,3.52,0,false,284100.00,959162.07
HL-00061,2025-04-26,2025-06-11,NSW,Inner Regional,House,Owner Occupied,Purchase,true,Broker,1124000.00,1420000.00,296000.00,79.19,5.484,35,Principal and Interest,6024.28,Active,7,Very Good,4.91,0,false,228900.00,1044791.62
HL-00062,2025-04-09,2025-05-09,VIC,Outer Regional,House,Owner Occupied,Purchase,false,Direct,742000.00,1128000.00,386000.00,65.74,5.933,30,Principal and Interest,4416.75,Active,10,Excellent,5.70,0,false,130200.00,684197.78
HL-00063,2025-04-18,2025-05-16,QLD,Metro,House,Owner Occupied,Purchase,true,Digital,720000.00,915000.00,195000.00,78.64,5.517,30,Principal and Interest,4095.76,Active,4,Good,4.91,0,false,146600.00,714941.34
HL-00064,2025-04-29,,VIC,Metro,Apartment,Owner Occupied,Equity Release,false,Direct,301000.00,495000.00,194000.00,60.83,6.014,30,Interest Only,1508.51,Approved,12,Excellent,2.63,0,false,114400.00,0.00
HL-00065,2025-04-10,,VIC,Metro,House,Owner Occupied,Equity Release,false,Broker,730000.00,923000.00,193000.00,79.13,6.384,30,Principal and Interest,4558.55,Declined,7,Good,6.43,0,false,113500.00,0.00
HL-00066,2025-04-02,2025-05-30,NSW,Metro,Land,Owner Occupied,Purchase,true,Direct,1144000.00,1311000.00,167000.00,87.27,5.454,30,Principal and Interest,6462.53,Active,7,Good,4.74,0,false,241400.00,1022570.43
HL-00067,2025-04-02,2025-04-20,WA,Metro,House,Owner Occupied,Refinance,true,Broker,914000.00,979000.00,65000.00,93.33,5.821,30,Principal and Interest,5375.15,Active,8,Fair,4.23,98,false,216100.00,907168.92
HL-00068,2025-04-17,2025-05-28,WA,Metro,House,Owner Occupied,Purchase,false,Digital,748000.00,903000.00,155000.00,82.83,5.718,25,Principal and Interest,4691.26,Active,4,Very Good,4.15,26,false,180200.00,709125.93
HL-00069,2025-04-13,2025-05-25,VIC,Metro,House,Owner Occupied,Purchase,true,Direct,749000.00,788000.00,39000.00,95.00,5.504,35,Principal and Interest,4024.22,Active,7,Good,6.82,53,false,109800.00,738149.46
HL-00070,2025-04-15,,NSW,Inner Regional,Apartment,Investment,Purchase,true,Digital,741000.00,893000.00,152000.00,82.94,5.855,30,Principal and Interest,4373.83,Declined,2,Very Good,3.36,0,false,220500.00,0.00
HL-00071,2025-04-13,2025-06-05,VIC,Outer Regional,House,Investment,Purchase,true,Digital,543000.00,634000.00,91000.00,85.67,6.563,30,Principal and Interest,3454.66,Active,3,Good,3.70,0,false,146800.00,517044.51
HL-00072,2025-04-13,2025-05-05,NSW,Outer Regional,Apartment,Owner Occupied,Purchase,true,Broker,911000.00,1135000.00,224000.00,80.28,6.102,25,Principal and Interest,5926.52,Active,7,Very Good,2.40,0,false,379600.00,882843.38
HL-00073,2025-04-24,,VIC,Metro,House,Investment,Refinance,true,Digital,792000.00,868000.00,76000.00,91.26,6.553,30,Principal and Interest,5033.62,Withdrawn,3,Very Good,4.84,0,false,163600.00,0.00
HL-00074,2025-04-06,,NSW,Metro,Land,Owner Occupied,Purchase,true,Digital,672000.00,707000.00,35000.00,95.00,5.957,30,Principal and Interest,4010.42,Withdrawn,5,Very Good,6.50,0,false,103400.00,0.00
HL-00075,2025-04-09,2025-05-04,QLD,Metro,Apartment,Investment,Refinance,false,Broker,589000.00,846000.00,257000.00,69.57,5.705,25,Principal and Interest,3689.44,Active,12,Very Good,2.52,0,false,233700.00,558351.70
HL-00076,2025-04-19,2025-06-03,VIC,Inner Regional,House,Owner Occupied,Purchase,false,Broker,941000.00,1175000.00,234000.00,80.07,5.770,30,Principal and Interest,5503.38,Active,10,Very Good,6.81,0,false,138200.00,855037.72
HL-00077,2025-04-12,2025-05-09,VIC,Inner Regional,House,Owner Occupied,Purchase,false,Direct,661000.00,970000.00,309000.00,68.13,5.557,30,Interest Only,3060.98,Active,8,Excellent,2.70,0,false,244800.00,633676.56
HL-00078,2025-04-23,2025-06-13,VIC,Metro,House,Owner Occupied,Purchase,false,Broker,752000.00,907000.00,155000.00,82.89,6.432,25,Interest Only,4030.72,Active,8,Good,2.60,13,true,289200.00,708828.74
HL-00079,2025-04-15,2025-05-06,VIC,Outer Regional,Apartment,Owner Occupied,Refinance,false,Broker,790000.00,914000.00,124000.00,86.47,5.856,30,Principal and Interest,4663.56,Active,11,Good,6.31,0,false,125200.00,772544.77
HL-00080,2025-04-23,,SA,Inner Regional,House,Owner Occupied,Refinance,false,Broker,556000.00,655000.00,99000.00,84.88,6.128,30,Principal and Interest,3379.39,Approved,11,Good,5.46,0,false,101800.00,0.00
HL-00081,2025-05-31,2025-07-15,QLD,Metro,House,Owner Occupied,Purchase,true,Direct,811000.00,1040000.00,229000.00,77.94,5.356,30,Principal and Interest,4531.77,Active,11,Good,3.61,0,false,224700.00,752126.31
HL-00082,2025-05-07,2025-07-01,WA,Metro,Apartment,Owner Occupied,Refinance,false,Broker,606000.00,1071000.00,465000.00,56.59,5.423,30,Interest Only,2738.61,Active,7,Very Good,2.45,0,false,247300.00,572804.45
HL-00083,2025-05-28,2025-06-15,NSW,Metro,Townhouse,Owner Occupied,Construction,false,Direct,738000.00,1283000.00,545000.00,57.50,6.249,30,Principal and Interest,4543.51,Active,9,Excellent,5.13,0,false,143900.00,680622.28
HL-00084,2025-05-03,2025-06-15,QLD,Metro,House,Owner Occupied,Purchase,false,Broker,326000.00,410000.00,84000.00,79.56,5.632,30,Principal and Interest,1878.08,Active,6,Very Good,5.62,0,false,75000.00,309779.32
HL-00085,2025-05-24,,QLD,Metro,Apartment,Owner Occupied,Purchase,false,Broker,643000.00,867000.00,224000.00,74.16,5.691,30,Principal and Interest,3728.31,Declined,10,Good,4.36,0,false,147500.00,0.00
HL-00086,2025-05-12,,VIC,Metro,House,Owner Occupied,Refinance,false,Broker,536000.00,822000.00,286000.00,65.26,6.366,25,Principal and Interest,3574.36,Declined,10,Very Good,3.52,0,false,152300.00,0.00
HL-00087,2025-05-04,2025-06-21,VIC,Inner Regional,Apartment,Owner Occupied,Purchase,false,Direct,1079000.00,1235000.00,156000.00,87.40,6.307,30,Interest Only,5671.04,Active,6,Good,5.03,0,false,214500.00,978136.69
HL-00088,2025-05-01,2025-05-31,NSW,Inner Regional,House,Owner Occupied,Refinance,false,Broker,958000.00,1255000.00,297000.00,76.34,5.628,35,Principal and Interest,5225.22,Active,7,Very Good,7.00,0,false,136900.00,889481.99
HL-00089,2025-05-19,2025-07-04,QLD,Inner Regional,House,Owner Occupied,Refinance,false,Digital,409000.00,522000.00,113000.00,78.32,5.852,25,Principal and Interest,2598.32,Active,2,Good,6.73,0,false,75000.00,397847.70
HL-00090,2025-05-09,2025-06-13,QLD,Inner Regional,House,Owner Occupied,Purchase,false,Broker,792000.00,1091000.00,299000.00,72.59,6.638,25,Principal and Interest,5416.14,Active,10,Very Good,3.78,0,false,209500.00,741762.46
HL-00091,2025-05-30,2025-07-04,VIC,Metro,Townhouse,Owner Occupied,Purchase,true,Direct,646000.00,736000.00,90000.00,87.74,6.269,30,Interest Only,3374.81,Active,6,Very Good,4.76,0,false,135700.00,566742.36
HL-00092,2025-05-29,2025-07-08,VIC,Metro,Apartment,Owner Occupied,Purchase,false,Digital,458000.00,720000.00,262000.00,63.65,6.516,30,Principal and Interest,2899.69,Active,4,Very Good,5.91,0,false,77500.00,420712.50
HL-00093,2025-05-07,,VIC,Metro,House,Investment,Purchase,false,Broker,1017000.00,1309000.00,292000.00,77.70,5.634,30,Interest Only,4774.81,Withdrawn,11,Good,3.63,0,false,280200.00,0.00
HL-00094,2025-05-25,2025-07-16,NT,Outer Regional,House,Owner Occupied,Purchase,true,Broker,399000.00,510000.00,111000.00,78.30,6.254,30,Principal and Interest,2457.75,Active,8,Excellent,6.22,0,false,75000.00,365544.99
HL-00095,2025-05-31,2025-06-19,VIC,Metro,House,Owner Occupied,Purchase,true,Broker,938000.00,1160000.00,222000.00,80.84,6.402,30,Principal and Interest,5868.47,Active,10,Good,6.65,0,false,141100.00,912329.31
HL-00096,2025-05-06,2025-06-20,NSW,Metro,Apartment,Owner Occupied,Purchase,true,Broker,992000.00,1205000.00,213000.00,82.31,6.510,30,Principal and Interest,6276.64,Active,10,Good,7.08,0,false,140100.00,854572.59
HL-00097,2025-05-21,2025-07-17,NSW,Metro,House,Owner Occupied,Refinance,false,Broker,615000.00,825000.00,210000.00,74.55,6.078,30,Principal and Interest,3718.13,Active,4,Excellent,6.53,0,false,94200.00,605834.41
HL-00098,2025-05-30,2025-07-22,VIC,Metro,Apartment,Owner Occupied,Purchase,true,Broker,595000.00,662000.00,67000.00,89.86,6.444,25,Principal and Interest,3996.69,Active,9,Good,6.85,0,false,86900.00,569264.01
HL-00099,2025-05-04,2025-06-06,NSW,Metro,Townhouse,Investment,Purchase,false,Broker,415000.00,531000.00,116000.00,78.22,6.267,30,Principal and Interest,2559.82,Active,8,Excellent,3.06,0,false,135600.00,390807.28
HL-00100,2025-05-10,2025-06-29,VIC,Metro,House,Owner Occupied,Refinance,false,Broker,855000.00,1092000.00,237000.00,78.34,5.373,30,Principal and Interest,4786.69,Active,10,Excellent,3.09,0,false,276700.00,786617.73
HL-00101,2025-06-07,2025-07-27,VIC,Inner Regional,House,Owner Occupied,Purchase,true,Broker,1065000.00,1253000.00,188000.00,84.96,5.726,25,Principal and Interest,6684.55,Active,6,Very Good,3.70,0,false,287800.00,981411.16
HL-00102,2025-06-09,2025-07-13,SA,Metro,Townhouse,Owner Occupied,Purchase,true,Direct,472000.00,510000.00,38000.00,92.50,6.580,25,Principal and Interest,3210.61,Active,8,Excellent,3.31,0,false,142600.00,466958.61
HL-00103,2025-06-22,,NSW,Metro,House,Owner Occupied,Refinance,false,Digital,793000.00,1201000.00,408000.00,66.00,5.723,25,Principal and Interest,4975.88,Declined,2,Excellent,2.83,0,false,280200.00,0.00
HL-00104,2025-06-18,2025-07-09,SA,Metro,House,Investment,Purchase,true,Direct,607000.00,686000.00,79000.00,88.52,5.812,30,Interest Only,2939.90,Active,5,Very Good,7.10,0,false,85500.00,548081.20
HL-00105,2025-06-12,2025-07-20,NSW,Metro,House,Owner Occupied,Purchase,false,Digital,740000.00,1082000.00,342000.00,68.37,5.484,30,Principal and Interest,4194.21,Active,5,Excellent,4.58,0,false,161600.00,716944.00
HL-00106,2025-06-19,2025-07-27,VIC,Metro,Apartment,Owner Occupied,Purchase,true,Digital,738000.00,917000.00,179000.00,80.46,5.572,25,Principal and Interest,4563.75,Active,5,Limited,3.37,0,false,219000.00,650500.69
HL-00107,2025-06-26,2025-08-09,VIC,Metro,House,Owner Occupied,Purchase,true,Direct,397000.00,471000.00,74000.00,84.19,6.200,30,Principal and Interest,2431.50,Active,4,Very Good,4.21,0,false,94300.00,381591.54
HL-00108,2025-06-25,,QLD,Metro,House,Owner Occupied,Purchase,false,Broker,778000.00,846000.00,68000.00,92.00,6.641,35,Principal and Interest,4775.89,Declined,10,Good,4.76,0,false,163400.00,0.00
HL-00109,2025-06-08,,SA,Metro,Apartment,Owner Occupied,Equity Release,false,Broker,500000.00,799000.00,299000.00,62.61,5.385,25,Principal and Interest,3036.19,Declined,8,Very Good,6.87,0,false,75000.00,0.00
HL-00110,2025-06-02,2025-07-02,NSW,Metro,Townhouse,Owner Occupied,Refinance,false,Direct,480000.00,696000.00,216000.00,68.91,6.456,30,Principal and Interest,3020.05,Active,5,Very Good,3.80,0,false,126300.00,423551.85
HL-00111,2025-06-29,2025-07-23,VIC,Inner Regional,Land,Owner Occupied,Construction,false,Broker,897000.00,1033000.00,136000.00,86.84,6.009,30,Principal and Interest,5383.16,Active,9,Good,6.99,0,false,128300.00,884632.73
HL-00112,2025-06-14,,NSW,Metro,Apartment,Owner Occupied,Equity Release,true,Broker,696000.00,800000.00,104000.00,86.98,6.183,25,Principal and Interest,4562.52,Declined,10,Fair,4.45,0,false,156400.00,0.00
HL-00113,2025-06-25,2025-08-20,NSW,Metro,House,Investment,Refinance,true,Digital,895000.00,1130000.00,235000.00,79.23,6.301,30,Principal and Interest,5540.39,Active,1,Excellent,5.94,0,false,150700.00,830736.44
HL-00114,2025-06-03,,NSW,Inner Regional,House,Owner Occupied,Refinance,false,Broker,877000.00,1108000.00,231000.00,79.11,6.174,25,Principal and Interest,5744.17,Approved,8,Good,3.46,0,false,253500.00,0.00
HL-00115,2025-06-26,,VIC,Metro,House,Owner Occupied,Refinance,true,Broker,1191000.00,1254000.00,63000.00,95.00,6.492,30,Principal and Interest,7521.67,Approved,9,Very Good,4.07,0,false,292600.00,0.00
HL-00116,2025-06-27,2025-07-23,NSW,Metro,House,Owner Occupied,Refinance,false,Broker,797000.00,1214000.00,417000.00,65.65,5.998,30,Principal and Interest,4777.39,Active,9,Good,3.95,18,true,201800.00,746175.00
HL-00117,2025-06-13,2025-07-30,NSW,Metro,Townhouse,Owner Occupied,Purchase,false,Direct,643000.00,781000.00,138000.00,82.39,5.524,30,Principal and Interest,3660.57,Active,2,Limited,2.13,27,false,301900.00,560266.49
HL-00118,2025-06-28,2025-07-17,NSW,Metro,House,Owner Occupied,Purchase,true,Direct,1150000.00,1316000.00,166000.00,87.38,5.583,30,Principal and Interest,6589.59,Active,6,Very Good,2.75,0,false,418200.00,1101271.83
HL-00119,2025-06-11,2025-07-18,SA,Inner Regional,Apartment,Investment,Refinance,false,Direct,447000.00,722000.00,275000.00,61.97,5.729,30,Principal and Interest,2602.61,Active,6,Very Good,6.32,0,false,75000.00,410880.04
